朝代;年;月;公历年;季;衙门;官职;官职简写;官员;品级;身份;名;公历年次数;又名;民族;旗分;旗分（或）;爵位;科举;科举（其他）
光绪;十五;7;1889;7;奉天府;奉天府府尹;府尹;府尹;正三;;兴升;1;;满洲;正蓝;;;生员;
光绪;一;11;1875;11;盛京工部;盛京工部侍郎;侍郎;侍郎;正二;;兴恩;1;;满洲;正白;;;进士;
道光;八;6;1828;6;奉天府;奉天府府尹;府尹;府尹;正三;;兴科;1;;满洲;镶黄;;;监生;
光绪;十一;3;1885;3;盛京兵部;盛京兵部侍郎;侍郎;侍郎;正二;;凤秀;1;;满洲;镶黄;;;监生;
光绪;十八;3;1892;3;盛京工部;盛京工部侍郎;侍郎;侍郎;正二;;凤秀;1;;满洲;镶黄;;;监生;
光绪;二十四;5;1898;5;副都统;阿勒楚喀副都统;副都统;副都统;从二;;凤翔;1;;;;;;;
光绪;二十五;12;1900;12;副都统;黑龙江副都统;副都统;副都统;从二;;凤翔;1;;;;;;;
道光;十一;7;1831;7;盛京刑部;盛京刑部侍郎;侍郎;侍郎;正二;;凯音布;1;;满洲;镶黄;;;进士;
道光;十一;;1831;;盛京工部;盛京工部侍郎;侍郎;侍郎;正二;;凯音布;1;;满洲;镶黄;;;进士;
嘉庆;十五;;1810;;盛京户部;盛京户部侍郎;侍郎;侍郎;正二;;凯音布;2;;满洲;镶黄;;;进士;
道光;十一;1;1831;1;盛京户部;盛京户部侍郎;侍郎;侍郎;正二;;凯音布;2;;满洲;镶黄;;;进士;
嘉庆;十四;6;1809;6;盛京礼部;盛京礼部侍郎;侍郎;侍郎;正二;;凯音布;2;;满洲;镶黄;;;进士;
道光;八;11;1828;11;盛京礼部;盛京礼部侍郎;侍郎;侍郎;正二;;凯音布;2;;满洲;镶黄;;;进士;
道光;十七;11;1836;11;盛京工部;盛京工部侍郎;侍郎;侍郎;正二;宗室;功普;1;;满洲;正蓝;;;进士;
顺治;十六;6;1659;6;盛京工部;盛京工部侍郎;侍郎;侍郎;正二;;努山;1;;满洲;正白;;;;
乾隆;十七;12;1752;12;副都统;盛京副都统;副都统;副都统;从二;宗室;勒克;1;;满洲;镶红;;;;
乾隆;十九;9;1754;9;盛京户部;盛京户部侍郎;侍郎;侍郎;正二;;勤克;1;;满洲;正蓝;;;;
乾隆;二十一;;1756;;副都统;墨尔根副都统;副都统;副都统;从二;;化柱;1;;满洲;镶黄;;;;
乾隆;二十二;;1757;;副都统;齐齐哈尔副都统;副都统;副都统;从二;;化柱;1;;满洲;正白;;;;
道光;四;7;1824;7;盛京刑部;盛京刑部侍郎;侍郎;侍郎;正二;;升寅;1;;满洲;镶黄;;;举人;
嘉庆;二十一;6;1816;6;盛京礼部;盛京礼部侍郎;侍郎;侍郎;正二;;升寅;1;;满洲;镶黄;;;举人;
嘉庆;十七;12;1812;12;奉天府;奉天府府尹;府尹;府尹;正三;;华连布;1;花连布;满洲;正红;;;监生;
光绪;十五;4;1889;4;副都统;吉林副都统;副都统;副都统;从二;;卓凌阿;1;;满洲;正白;;;;
雍正;八;1;1730;1;黑龙江将军;黑龙江将军;将军;将军;从一;;卓尔海;1;;满洲;镶红;;;;
乾隆;十五;6;1750;6;吉林将军;吉林将军;将军;将军;从一;;卓鼐;1;卓奈;满洲;正蓝;;男;;
康熙;三十九;10;1700;10;盛京礼部;盛京礼部侍郎;侍郎;侍郎;正二;;单璧;1;山疋;满洲;正蓝;;;;
乾隆;四十七;9;1782;9;奉天府;奉天府府尹;兼管奉天府府尹;兼管奉天府府尹;正三;;博兴;1;伯兴;满洲;镶白;;;;
乾隆;三十四;2;1769;2;奉天府;奉天府府尹;府尹;府尹;正三;;博卿额;1;;满洲;镶黄;;;进士;
道光;七;7;1827;7;吉林将军;吉林将军;将军;将军;从一;;博启图;1;;满洲;镶黄;;;荫生;
康熙;二十三;12;1684;12;副都统;盛京副都统;副都统;副都统;从二;;博定;1;薄鼎;满洲;正黄;;;;
雍正;十二;;1734;;副都统;齐齐哈尔副都统;副都统;副都统;从二;;博尔沙;1;;满洲;正白;;;;
嘉庆;十五;2;1810;2;奉天府;奉天府府尹;兼管奉天府府尹;兼管奉天府府尹;正三;宗室;博庆额;1;;满洲;镶红;;;;
嘉庆;十三;11;1808;11;盛京工部;盛京工部侍郎;侍郎;侍郎;正二;宗室;博庆额;1;;满洲;镶红;;;;
雍正;四;;1726;;副都统;黑龙江副都统;副都统;副都统;从二;;博思瑚尔;1;;满洲;正白;;;;
光绪;七;3;1881;3;副都统;伯都讷副都统;副都统;副都统;从二;;博栋阿;1;;满洲;镶黄;;;;
光绪;十四;4;1888;4;副都统;墨尔根副都统;副都统;副都统;从二;;博栋阿;1;;满洲;镶黄;;;;
光绪;六;10;1880;10;副都统;黑龙江副都统;副都统;副都统;从二;;博栋阿;1;;满洲;镶黄;;;;
雍正;十;;1732;;吉林将军;吉林将军;将军;将军;从一;;博第;2;钵第、伯第;满洲;正蓝;;;;
乾隆;八;9;1743;9;吉林将军;吉林将军;将军;将军;从一;;博第;2;钵第、伯第;满洲;正蓝;;;;
乾隆;一;8;1723;8;奉天将军;盛京将军;将军;将军;从一;;博第;1;钵第、伯第;满洲;正蓝;;;;
乾隆;三;7;1783;7;黑龙江将军;黑龙江将军;将军;将军;从一;;博第;1;钵第、伯第;满洲;正蓝;;;;
道光;二十四;2;1844;2;盛京工部;盛京工部侍郎;侍郎;侍郎;正二;;博迪苏;1;;蒙古;正白;;;进士;
乾隆;二;10;1737;10;盛京户部;盛京户部侍郎;侍郎;侍郎;正二;;双喜;1;;满洲;镶黄;;;;
光绪;八;12;1883;12;副都统;宁古塔副都统;副都统;副都统;从二;;双寿;1;;蒙古;镶红;;;;
同治;八;6;1869;6;副都统;伯都讷副都统;副都统;副都统;从二;;双福;2;;满洲;正白;;;;
光绪;六;5;1880;5;副都统;伯都讷副都统;副都统;副都统;从二;;双福;2;;满洲;正白;;;;
光绪;一;8;1875;8;副都统;宁古塔副都统;副都统;副都统;从二;;双福;1;;满洲;正白;;;;
咸丰;九;10;1859;10;盛京礼部;盛京礼部侍郎;侍郎;侍郎;正二;;双福;1;;蒙古;正黄;;;;
光绪;二十二;11;1896;11;副都统;宁古塔副都统;副都统;副都统;从二;;双龄;1;;蒙古;镶红;;;;
光绪;二;;1876;;吉林将军;吉林将军;将军;将军;从一;;古尼音布;1;;满洲;正蓝;;领催;;
