季节;朝代;年;公历年;季;衙门;官职;官职简写;官员;品级;身份;名;公历年次数;原姓名;民族;旗分;爵位;科举
秋;道光;二十;1840;3;盛京刑部;盛京刑部侍郎;侍郎;刑部侍郎;正二;;栢葰;1;;蒙古;正蓝;;
夏;道光;十九;1839;2;盛京工部;盛京工部侍郎;侍郎;工部侍郎;正二;;栢葰;1;;蒙古;镶蓝;;进士
冬;咸丰;八;1858;4;副都统;墨尔根副都统;副都统;镇守墨尔根副都统;从二;;格绷额;3;;蒙古;镶蓝;;
夏;咸丰;九;1859;2;副都统;墨尔根副都统;副都统;镇守墨尔根副都统;从二;;格绷额;3;;蒙古;镶蓝;;
秋;咸丰;十;1860;3;副都统;墨尔根副都统;副都统;镇守墨尔根副都统;从二;;格绷额;3;;蒙古;正黄;;
夏;道光;二十八;1848;2;盛京刑部;盛京刑部侍郎;侍郎;刑部侍郎;正二;觉罗;桂德;1;;满洲;镶蓝;;
夏;同治;四;1865;2;盛京工部;盛京工部侍郎;侍郎;工部侍郎;正二;;桂清;5;;满洲;正白;;
春;同治;五;1866;1;盛京工部;盛京工部侍郎;侍郎;工部侍郎镶红旗汉军副都统;正二;;桂清;5;;满洲;正白;;
秋;同治;六;1867;3;盛京工部;盛京工部侍郎;侍郎;工部侍郎镶红旗汉军副都统;正二;;桂清;5;;满洲;正白;;
夏;同治;十三;1874;2;盛京工部;盛京工部侍郎;侍郎;工部侍郎;正二;;桂清;5;;满洲;正白;;
夏;光绪;元;1875;2;盛京工部;盛京工部侍郎;侍郎;工部侍郎;正二;;桂清;5;;满洲;正白;;
秋;道光;二十;1840;3;将军衙门;黑龙江将军;将军;镇守黑龙江等处将军;从一;;棍楚克策楞;4;棍楚莱克楞;满洲;镶黄;;
春;道光;二十二;1842;1;将军衙门;黑龙江将军;将军;镇守黑龙江等处将军;从一;;棍楚克策楞;4;棍楚莱克楞;满洲;镶黄;;
夏;道光;二十五;1845;2;将军衙门;黑龙江将军;将军;镇守黑龙江等处将军;从一;;棍楚克策楞;4;棍楚莱克楞;满洲;镶黄;;
春;咸丰;四;1854;1;将军衙门;黑龙江将军;将军;镇守黑龙江等处将军;从一;;棍楚克策楞;4;棍楚莱克楞;满洲;镶黄;;
夏;道光;二十九;1849;2;盛京刑部;盛京刑部侍郎;侍郎;刑部侍郎;正二;;毓书;1;;满洲;正红;;
春;同治;八;1869;1;副都统;吉林副都统;副都统;镇守吉林等处地方副都统;从二;;毓福;3;;蒙古;镶白;;
春;同治;九;1870;1;副都统;吉林副都统;副都统;镇守吉林等处地方副都统;从二;;毓福;3;;蒙古;镶白;;
春;同治;十;1871;1;副都统;吉林副都统;副都统;镇守吉林等处地方副都统;从二;;毓福;3;;满洲;正黄;;
春;嘉庆;十一;1806;1;副都统;锦州副都统;副都统;镇守锦州等处地方副都统兼管庄粮捕牲驿站大凌河牧群总管事务;从二;;毓秀;2;;满洲;正蓝;;
夏;嘉庆;十一;1806;2;副都统;锦州副都统;副都统;镇守锦州等处地方副都统兼管庄粮捕牲驿站大凌河牧群总管事务;从二;;毓秀;2;;满洲;正蓝;;
春;乾隆;五十三;1788;1;将军衙门;盛京将军;将军;镇守盛京地方统领满兵将军内大臣奉恩辅国公;从一;宗室;永玮;5;;满洲;镶蓝;;
秋;乾隆;五十;1785;3;将军衙门;盛京将军;将军;镇守盛京地方统领满兵将军内大臣恩辅国公;从一;宗室;永玮;5;;满洲;镶蓝;;
春;乾隆;五十一;1786;1;将军衙门;盛京将军;将军;镇守盛京地方统领满兵将军内大臣恩辅国公;从一;宗室;永玮;5;;满洲;镶蓝;;
秋;乾隆;五十;1785;3;将军衙门;盛京将军;将军;镇守盛京地方统领满兵将军内大臣恩辅国公;从一;宗室;永玮;5;;满洲;镶蓝;;
春;乾隆;五十一;1786;1;将军衙门;盛京将军;将军;镇守盛京地方统领满兵将军内大臣恩辅国公;从一;宗室;永玮;5;;满洲;镶蓝;;
春;嘉庆;元;1796;1;将军衙门;黑龙江将军;将军;镇守黑龙江等处将军;从一;宗室;永琨;1;;满洲;正蓝;;
冬;嘉庆;二十一;1816;4;盛京刑部;盛京刑部侍郎;侍郎;刑部侍郎;正二;;永祚;1;;满洲;镶白;;
春;光绪;十六;1890;1;副都统;吉林副都统;副都统;镇守吉林地方副都统;从二;;沙克都林扎布;10;沙克郡;满洲;正白;;
春;光绪;十六;1890;1;副都统;吉林副都统;副都统;镇守吉林地方副都统;从二;;沙克都林扎布;10;林扎布;满洲;正白;;
春;光绪;十八;1892;1;副都统;吉林副都统;副都统;镇守吉林地方副都统;从二;;沙克都林扎布;10;沙克郡;满洲;正白;;
春;光绪;十八;1892;1;副都统;吉林副都统;副都统;镇守吉林地方副都统;从二;;沙克都林扎布;10;林扎布;满洲;正白;;
冬;光绪;十九;1893;4;副都统;吉林副都统;副都统;镇守吉林地方副都统;从二;;沙克都林扎布;10;沙克郡;满洲;正白;;
冬;光绪;十九;1893;4;副都统;吉林副都统;副都统;镇守吉林地方副都统;从二;;沙克都林扎布;10;林扎布;满洲;正白;;
夏;光绪;二十;1894;2;副都统;吉林副都统;副都统;镇守吉林地方副都统;从二;;沙克都林扎布;10;沙克郡;满洲;正白;;
夏;光绪;二十;1894;2;副都统;吉林副都统;副都统;镇守吉林地方副都统;从二;;沙克都林扎布;10;林扎布;满洲;正白;;
春;光绪;二十一;1895;1;副都统;吉林副都统;副都统;镇守吉林地方副都统;从二;;沙克都林扎布;10;沙克郡;满洲;正白;;
春;光绪;二十一;1895;1;副都统;吉林副都统;副都统;镇守吉林地方副都统;从二;;沙克都林扎布;10;林扎布;满洲;正白;;
夏;光绪;二十二;1896;2;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;沙克都林扎布;2;沙克郡;满洲;正白;;
夏;光绪;二十二;1896;2;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;沙克都林扎布;2;林扎布;满洲;正白;;
秋;乾隆;三十八;1773;3;盛京兵部;盛京兵部侍郎;侍郎;管理驿站正监督兵部侍郎;正二;;法禄;1;;满洲;镶红;;
春;嘉庆;元;1796;1;盛京工部;盛京工部侍郎;侍郎;工部侍郎;正二;;泰宁;1;;满洲;正红;;
春;光绪;十一;1885;1;副都统;盛京副都统;副都统;镇守盛京等处副都统;从二;;济禄;11;;满洲;正白;;
夏;光绪;十二;1886;2;副都统;盛京副都统;副都统;镇守盛京等处副都统;从二;;济禄;11;;满洲;正白;;
春;光绪;十三;1887;1;副都统;盛京副都统;副都统;镇守盛京等处副都统;从二;;济禄;11;;满洲;正白;;
