朝代;年;月;公历年;季;衙门;官职;官职简写;官员;品级;身份;名;又名;民族;旗分;旗分（或）;爵位;科举;科举（其他）
道光;六;十一;1826;4;工部;工部侍郎;侍郎;侍郎;正二;觉罗;海龄;;满洲;正蓝;;;进士;
道光;七;八;1827;3;工部;工部侍郎;侍郎;侍郎;正二;;多山;;蒙古;正蓝;;;进士;
道光;十五;一;1835;4;工部;工部侍郎;侍郎;侍郎;正二;宗室;恩桂;;满洲;镶蓝;;;进士;
道光;十七;十二;1836;4;工部;工部侍郎;侍郎;侍郎;正二;宗室;德诚;;满洲;镶蓝;;;进士;
道光;十八;十一;1838;4;工部;工部侍郎;侍郎;侍郎;正二;;柏葰;;蒙古;正蓝;;;进士;
道光;二十四;二;1844;1;工部;工部侍郎;侍郎;侍郎;正二;;博迪苏;;蒙古;正白;;;进士;
咸丰;二;十;1852;3;工部;工部侍郎;侍郎;侍郎;正二;;广林;;蒙古;正黄;;;进士;
咸丰;五;八;1855;3;工部;工部侍郎;侍郎;侍郎;正二;宗室;锡龄;;满洲;镶蓝;;;进士;
咸丰;十一;十;1861;3;工部;工部侍郎;侍郎;侍郎;正二;宗室;载肃;;满洲;镶红;;;进士;
光绪;九;四;1883;1;工部;工部侍郎;侍郎;侍郎;正二;宗室;阿克丹;;满洲;正白;;;进士;
光绪;二十二;七;1896;2;工部;工部侍郎;侍郎;侍郎;正二;;钟灵;;满洲;正蓝;;;进士;
康熙;六;;1667;;奉天府;奉天府府尹;府尹;府尹;正三;;王印祚;王景祚;汉;;;;进士;
康熙;十二;十一;1673;4;奉天府;奉天府府尹;府尹;府尹;正三;;耿效忠;;汉;;;;进士;
康熙;五十一;二;1712;1;奉天府;奉天府府尹;府尹;府尹;正三;;李涛;;汉;;;;进士;
康熙;五十三;二;1714;1;奉天府;奉天府府尹;府尹;府尹;正三;;郝林;;汉;;;;进士;
康熙;五十四;四;1715;1;奉天府;奉天府府尹;府尹;府尹;正三;;朱轼;;汉;;;;进士;
康熙;五十六;十一;1717;4;奉天府;奉天府府尹;府尹;府尹;正三;;屠沂;;汉;;;;进士;
康熙;五十八;三;1719;1;奉天府;奉天府府尹;府尹;府尹;正三;;文志鲸;;汉;;;;进士;
康熙;六十一;三;1722;1;奉天府;奉天府府尹;府尹;府尹;正三;;邹汝鲁;;汉;;;;进士;
雍正;四;十;1726;3;奉天府;奉天府府尹;府尹;府尹;正三;;蔡珽;;汉军;正白;;;进士;
雍正;八;六;1730;2;奉天府;奉天府府尹;府尹;府尹;正三;;黎致远;黎志远;汉;;;;进士;
雍正;十二;四;1734;1;奉天府;奉天府府尹;府尹;府尹;正三;;宋筠;;汉;;;;进士;
乾隆;三;四;1783;1;奉天府;奉天府府尹;府尹;府尹;正三;;吴应枚;;汉;;;;进士;
乾隆;六;十一;1741;4;奉天府;奉天府府尹;府尹;府尹;正三;;霍俻;;汉;;;;举人;
乾隆;三十七;三;1772;1;奉天府;兼管奉天府府尹;;兼管奉天府府尹;正三;;瓦尔达;;满洲;正黄;;;进士;
乾隆;三十八;二;1773;1;奉天府;兼管奉天府府尹;;兼管奉天府府尹;正三;;瓦尔达;;满洲;正黄;;;进士;
乾隆;三十八;八;1773;3;奉天府;兼管奉天府府尹;;兼管奉天府府尹;正三;;德风;;满洲;正白;;;进士;
乾隆;四十三;十一;1778;4;奉天府;兼管奉天府府尹;;兼管奉天府府尹;正三;;全魁;;满洲;镶白;;;进士;
嘉庆;四;五;1799;2;奉天府;兼管奉天府府尹;;兼管奉天府府尹;正三;;铁保;;满洲;正黄;;;进士;
嘉庆;四;九;1799;3;奉天府;兼管奉天府府尹;;兼管奉天府府尹;正三;;瑚图礼;;满洲;正白;;;进士;
嘉庆;五;二;1800;1;奉天府;兼管奉天府府尹;;兼管奉天府府尹;正三;;成书;;满洲;镶白;;;进士;
嘉庆;七;七;1802;2;奉天府;兼管奉天府府尹;;兼管奉天府府尹;正三;;德文;;满洲;正白;;;进士;
嘉庆;十;八;1805;3;奉天府;兼管奉天府府尹;;兼管奉天府府尹;正三;;荣麟;;满洲;正黄;;;进士;
嘉庆;十四;十二;1809;4;奉天府;兼管奉天府府尹;;兼管奉天府府尹;正三;;马慧裕;;汉军;正黄;;;进士;
嘉庆;二十一;五;1816;2;奉天府;兼管奉天府府尹;;兼管奉天府府尹;正三;;德文;;满洲;正白;;;进士;
道光;二十;九;1840;3;奉天府;兼管奉天府府尹;;兼管奉天府府尹;正三;;柏葰;;蒙古;正蓝;;;进士;
咸丰;六;七;1856;2;奉天府;兼管奉天府府尹;;兼管奉天府府尹;正三;;富呢雅杭阿;;蒙古;镶红;;;进士;
咸丰;七;十一;1857;4;奉天府;兼管奉天府府尹;;兼管奉天府府尹;正三;;倭仁;;蒙古;正红;;;进士;
咸丰;十一;十;1861;3;奉天府;兼管奉天府府尹;;兼管奉天府府尹;正三;宗室;和润;;满洲;镶蓝;;;进士;
同治;二;十二;1863;4;奉天府;兼管奉天府府尹;;兼管奉天府府尹;正三;;宝珣;;满洲;镶黄;;;进士;
同治;十;五;1871;2;奉天府;兼管奉天府府尹;;兼管奉天府府尹;正三;宗室;瑞联;;满洲;正蓝;;;进士;
同治;十二;四;1873;1;奉天府;兼管奉天府府尹;;兼管奉天府府尹;正三;;志和;;满洲;正蓝;;;进士;
光绪;一;二;1875;1;奉天府;兼管奉天府府尹;;兼管奉天府府尹;正三;;崇实;;满洲;镶黄;;;进士;
